ExternalPatientId,FirstName,LastName,DOB,Sex,PhoneNumber,Address,City,ZipCode
EXT0001,Mackenzie C.,Abbott,30-Jul-2001,F,379-8376,366 Thomas Junctions,Cedar Park,78613
EXT0002,Chad James,Adams,12-Feb-2002,M,361-776-3892,5302 Rivera Junction Apt. 194,Austin,73301
EXT0003,Michael T.,Allen,21-Jul-1982,M,325-257-9296,748 Thomas Route Apt. 933,Buda,78610
EXT0004,Lindsay,Anderson,04-Jun-1995,F,311-8007,55611 Mckinney Harbors Suite 642,Hutto,78634
EXT0005,Timothy,Anderson,20-May-2000,M,254-636-1610,26 Barry Ferry Apt. 159,Cedar Park,78613
EXT0006,Sara,Avila,20-Feb-2002,F,979-805-4731,262 William Shoal,Georgetown,78626
EXT0007,Kathy Jean,Baird,06-Jun-1982,F,979-724-1588,223 Alexandra Points Apt. 556,Pflugerville,78660
EXT0008,Tracy,Baker,24-Feb-1978,M,512-991-2363,6632 Thompson Course,Buda,78610
EXT0009,Justin,Baldwinn,02-Nov-1965,M,,531 Lisa Common,Cedar Park,78613
EXT0010,Ronald,Barker,20-Jan-1945,M,,37443 Jason Plaza,Kyle,78640
EXT0011,James Brian,Beltran,19-Mar-1954,M,737-927-5953,14666 Michelle Road,Round Rock,78664
EXT0012,Steve C,Bentley,25-Feb-2002,M,254-961-8099,688 Bishop Mills,Kyle,78640
EXT0013,Mallory,Blevins,02-Dec-1978,F,737-974-5099,24707 Destiny Field Suite 733,Cedar Park,78613
EXT0014,Chris,Boys,12-Aug-1975,M,361-988-5003,984 Karls St,Manor,78653
EXT0015,David,Brady,09-Mar-1981,M,979-978-9386,53179 Wood Passage Apt. 520,Leander,78641
EXT0016,Bobby Thomas,Brewer,11-Jul-1941,M,512-249-7123,9608 Riddle Estates Suite 312,Pflugerville,78660
EXT0017,Rebecca,Brown,04-Aug-1982,F,512-684-7057,46407 Samantha Via,Hutto,78634
EXT0018,Anna Emma,Brown,30-Dec-1957,F,325-605-8889,82861 Nathan Point,Round Rock,78664
EXT0019,Anne,Brown,07-Jan-1999,F,361-469-6353,02511 Alexis Vista,Kyle,78640
EXT0020,Jason,Brown,23-Oct-1988,M,512-475-8829,457 Sam Houston St.,Cedar Park,78613
EXT0021,Jose,Brown,22-Sep-1945,M,830-381-1620,821 Marshall Isle,Manor,78653
EXT0022,Michael,Bryant,12-Apr-2004,M,210-301-1850,3352 Case Via Apt. 732,Kyle,78640
EXT0023,Erin,Burke,16-Dec-1981,F,830-478-7180,4125 Garcia Lock Apt. 191,Pflugerville,78660
EXT0024,Randall,Bush,26-Dec-2001,M,325-480-3051,305 W 45 St,Austin,78705
EXT0025,David,Campos,25-Feb-1964,M,979-372-8278,34056 Matthew Glens,Austin,78705
EXT0026,Alicia,Cannon,14-Mar-1978,F,737-701-9673,65920 Stephanie Junctions,Georgetown,78626
EXT0027,Sarah Melissa,Carney,17-Jul-1963,F,361-417-7283,0574 Micheal Spurs,Cedar Park,78613
EXT0028,Taylor,Carrillo,06-Jan-1998,F,512-686-6972,19573 Gina Viaduct Suite 957,Buda,78610
EXT0029,Dennis,Carrillo,18-Sep-1940,M,979-819-3803,597 Manning Radial Apt. 256,Kyle,78640
EXT0030,James,Carteer,26-Aug-1958,M,512-528-9691,35034 Huber Shore Suite 097,Cedar Park,78613
EXT0031,Jaclynn,Chase,22-Feb-1947,F,512-870-9062,161 Javier Shores,Round Rock,78664
EXT0032,Jessica,Cole,27-May-2005,F,361-215-5340,5268 Koch Hollow,Manor,78653
EXT0033,Joseph Gordon,Collins,23-Jul-1939,M,361-222-7955,7668 Walter Valleys,Hutto,78634
EXT0034,Adam Strickland,Collins,13-Mar-1976,M,512-667-7415,7983 Miles Cliff,Kyle,78640
EXT0035,David T.,Colon,28-Aug-1936,M,512-418-1377,581 Meza Causeway,Round Rock,78664
EXT0036,Kristina,Conway,22-Jun-1962,F,830-323-6633,329 Karen Village,Pflugerville,78660
EXT0037,Amanda Maren,Cook,20-Nov-1953,F,737-702-2143,34235 Amanda Meadows,Georgetown,78626
EXT0038,Lisa Joan,Cooper,07-Nov-1963,F,254-588-6793,42853 Kevin Highway Suite 175,Georgetown,78626
EXT0039,Steven Michael,Cooper,26-Sep-1957,M,512-967-3415,4611 Wilson Cliffs,Cedar Park,78613
EXT0040,Ashley,Cordova,20-Aug-1949,F,361-835-6079,90652 Coleman Rapids Apt. 232,Austin,73301
EXT0041,Erik,Crawford,06-Apr-1943,M,737-312-7974,3629 Gray Field,Leander,78641
EXT0042,Nathan,Crawford,03-May-1939,M,512-644-8132,100 Miles Street,Austin,78705
EXT0043,Geoffrey,Cunningham,25-Nov-1988,M,737-256-4089,96678 Harmon Dale,Cedar Park,78613
EXT0044,Courtney,Davis,24-May-1952,F,325-263-7258,0235 Sara Mews,Buda,78610
EXT0045,Nathan Ben,Day,31-Jan-1995,M,512-736-8939,8921 Chapman Creek,Leander,78641
EXT0046,Elizabeth,Dillon,04-Nov-1943,F,,4663 Kristin Port,Manor,78653
EXT0047,Brian,Dominguez,02-Jul-1947,M,254-580-6882,244 Nicholas Skyway Apt. 776,Cedar Park,78613
EXT0048,Jon,Donovan,10-Jan-1935,M,512-660-6970,05082 Munoz Causeway,Manor,78653
EXT0049,Daniel,Elliott,20-Nov-1958,M,361-208-2882,711 Stephanie Terrace,Buda,78610
EXT0050,Micheal,Evans,26-Jan-1979,M,463-4554,3078 Lisa Forks,Kyle,78640
EXT0051,Michelle,Ferguson,29-Mar-1975,F,,19214 Phyllis Harbors,Hutto,78634
EXT0052,Rose,Fernandez,13-May-1993,F,210-720-2800,277 Cox Circles Suite 205,Leander,78641
